time, id1, id2, amount, message
11/2/2016 9:49,0,2,25.32, Spam 
11/2/2016 9:49,0,20,19.45, Food for 🌽 😎 
11/2/2016 9:49,0,21,14.99, Clothing 
11/2/2016 9:49,0,5,13.48, LoveWins 
11/2/2016 9:49,0,9,29.94, Jeffs still fat 
11/2/2016 9:49,0,29,19.01, 🌞🍻🌲🏔🍆 
11/2/2016 9:49,0,7,4.85,5
11/2/2016 9:49,0,6,10.64, Boooooz 
11/2/2016 9:49,0,9,20.42, Electric 
11/2/2016 9:49,0,10,25.32, Spam 
11/2/2016 9:49,0,11,19.45, Food for 🌽 😎 
11/2/2016 9:49,0,16,14.99, Clothing 
11/2/2016 9:49,0,25,13.48, LoveWins 
11/2/2016 9:49,0,17,29.94, Jeffs still fat 
11/2/2016 9:49,0,15,19.01, 🌞🍻🌲🏔🍆 
